NAME,MEDHINC_CY,WLTHINDXCY
A Mountain,39293,32
Adelanto,33635,28
Alvernon Heights,29762,26
Amphi,20213,20
Armory Park,36870,48
Arroyo Chico,40806,45
Avondale,27928,33
Balboa Heights,16547,16
Barrio Anita,40183,41
Barrio Blue Moon,13231,16
Barrio Centro,43282,45
Barrio Hollywood,32736,30
Barrio San Antonio,54409,68
Barrio Santa Rosa,35802,33
Barrio Viejo,45094,59
Bear Canyon,75470,144
Blenman-Elm,57765,66
Broadmoor-Broadway,47128,80
Broadway/Northeast,61502,98
Campbell-Grant,43473,46
Campus Farm,31169,33
Catalina Vista,77802,105
Catalina Vista/Blenman-Elm,115281,152
Houghton South,83642,91
Colonia Del Valle,56868,76
Corbett,36153,34
Cottonwood Manor,37460,70
Desert Palms Park,86459,103
Dietz,44226,49
Dodge Flower,25336,27
Doolen-Fruitvale,35976,32
Drexel Park,25130,26
Duffy,30128,57
Dunbar Spring,25821,40
Eastside,82313,127
El Gheko,58044,94
El Conquistador,78219,139
El Cortez,29665,29
El Montevideo,103046,282
El Presidio,31883,29
El Rio Acres,35833,34
Elvira,50687,49
Enchanted Hills,40802,37
Flowing Wells,30668,35
Glenn Heights,61873,81
Country Glenn,43909,43
Groves Lincoln Park,51979,60
Harlan Heights,38410,43
Old Spanish Trail,70483,68
Hedrick Acres,27684,24
Highland Vista Cinco Via,79464,85
Houghton East,93335,194
Iron Horse,19198,27
Ironwood Ridge,57069,67
Jefferson Park,37877,39
Julia Keen,40916,44
Keeling,22395,20
La Madera,45413,45
Lakeside Park,50119,44
Las Vistas,32250,29
Limberlost,33304,31
Garden District,33611,31
Midvale Park,42660,39
Miracle Manor,24176,21
Miramonte,29962,36
Mitman,42220,47
Mortimore,51271,44
Mountain First Avenue,39075,51
Mountain View,37688,37
Myers,27017,25
Naylor,28934,25
North Dodge,20567,21
North University,20807,26
Oak Flower,27498,24
Old Fort Lowell,71981,120
Palo Verde,33659,38
Panorama Estates,48081,46
Westside Development,64060,74
Parkway Terrace,51224,43
Peter Howell,63943,76
Pie Allen,27001,26
Poets Square,67038,75
RillitoBend,39730,39
Pueblo Gardens,31535,28
Richland Heights East,43407,51
Richland Heights West,46935,61
Rillito,67457,72
Rincon Heights,21863,22
Rita Ranch,89700,101
Roberts,25171,25
Rose,33367,33
Rosemont West,51040,50
Saguaro Miraflores,83687,140
Sam Hughes,55776,92
Samos,39884,60
San Carlos,40633,39
San Clemente,86725,88
San Gabriel,42280,54
San Ignacio Yaqui,19507,21
Santa Cruz Southwest,36534,43
Santa Rita Park - West Ochoa,35631,30
Sewell,36911,58
South Harrison,61376,97
South Park,30966,28
Cabrini,37715,28
Starr Pass,72693,160
Stella Mann,41429,35
Sunnyside,33040,32
Sunset Villa,30140,28
Swan Way Park,40577,44
Terra Del Sol,49048,58
Thunderbird Heights/Wilmot Desert Esta,47922,66
Tucson Park West #1,27095,25
Vista Del Monte,43715,45
Wakefield,31896,29
West University,25427,30
Western Hills II,36277,37
Wilshire Heights,59568,112
Rancho Perdido Estates,51410,63
Mesquite Ranch,83565,91
Desert Aire/Loma Linda,57228,69
Millville,41932,46
Sombras Del Cerro,0,0
Rancho Buena,37502,35
Rosemont East,71881,96
Udall Park,54801,60
Menlo Park,30689,30
Silverbell Terrace,50000,42
Broadway Pantano East,39611,42
Miles,20993,24
Sierra Estates,26937,22
Silvercroft,37595,39
Brichta,58787,66
Cherry Avenue,40610,40
Fairgrounds,22203,21
Bravo Park Lane,35285,31
Feldman`s,19261,20
Sugar Hill,35709,33
Toumey Park,26754,30
El Encanto Estates,61439,115
Colonia Solana,103357,280
Winterhaven,48754,60
Barrio Kroeger Lane,23551,37
Palo Verde Park,55810,73
Aldea Linda,57261,69
St. Cyrils,37684,39
Arcadia Rose,29991,39
Saguaro Canyon,100590,188
Barrio Nopal,34682,32
Santiago Hills,64541,81
Coronado Heights,15586,15
Harold Bell Wright Estates,54668,90
Carriage Park,36339,35
Copper Vista,25829,25
West Lamar City Acres,38082,46
Loma Verde,43696,73
Downtown,36471,26
Barrio Santa Cruz,27188,33
Bonanza,62571,69
